head
550
450
550
550
450
450
450
550
450
500
550
500
550
450
550
450
400
400
400
400
450
450
450
500
450
500
500
450
500
550
450
450
450
450
500
550
550
550
550
550
600
550
500
500
550
750
750
700
700
700
650
700
650
650
650
650
650
650
750
750
750
750
750
750
850
800
750
750
750
750
750
750
750
750
750
750
900
900
900
900
900
900
900
850
750
900
750
850
850
850
900
1100
1100
850
850
850
850
850
850
750
850
800
750
750
750
750
850
850
950
900
900
950
850
950
900
900
900
900
900
900
900
900
900
900
900
900
900
900
850
850
850
850
850
850
800
800
800
750
750
750
700
750
750
750
750
800
800
900
900
900
900
900
800
800
800
800
800
800
800
800
800
1000
1000
1000
1000
1200
1100
700
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1000
1400
1000
1200
1500
1000
1400
1000
1400
1200
1400
1400
1500
1500
1500
1500
1500
1500
1500
1500
1500
1400
1200
1500
850
1000
1000
800
3500
1200
800
800
500
1100
3200
3000
3000
3000
3000
3000
3000
3500
1600
1200
950
940
940
940
930
930
850
800
800
800
800
800
800
800
800
800
800
800
800
800
600
600
600
500
700
700
700
700
700
700
800
900
900
1020
1020
1020
1020
1030
1030
1030
1030
1030
1030
1250
950
1100
1050
1050
1060
1060
1100
1100
1300
1300
1300
